id,datestamp,timestamp,demand
350272,2014-09-27,21:45:02,29525
350273,2014-09-27,21:50:04,29160
350274,2014-09-27,21:55:03,28875
350275,2014-09-27,22:00:02,28603
350276,2014-09-27,22:05:01,28319
350277,2014-09-27,22:10:03,28038
350278,2014-09-27,22:15:03,27747
350279,2014-09-27,22:20:03,27412
350280,2014-09-27,22:25:01,27055
350281,2014-09-27,22:30:01,26825
350282,2014-09-27,22:35:02,26644
350283,2014-09-27,22:40:02,26426
350284,2014-09-27,22:45:03,26194
350285,2014-09-27,22:50:04,25911
350286,2014-09-27,22:55:02,25642
352243,2014-10-04,18:00:07,37012
352244,2014-10-04,18:05:02,37381
352245,2014-10-04,18:10:03,37604
352246,2014-10-04,18:15:02,37734
352247,2014-10-04,18:20:03,37622
352248,2014-10-04,18:25:01,37445
352249,2014-10-04,18:30:04,37491
352250,2014-10-04,18:35:02,37400
352251,2014-10-04,18:40:03,37305
352252,2014-10-04,18:45:02,37208
352253,2014-10-04,18:50:03,36918
352254,2014-10-04,18:55:03,36806
352255,2014-10-04,19:00:01,36629
352256,2014-10-04,19:05:03,36402
352257,2014-10-04,19:10:05,36255
352258,2014-10-04,19:15:04,35971
352259,2014-10-04,19:20:05,35517
352260,2014-10-04,19:25:02,35280
352261,2014-10-04,19:30:01,35130
352262,2014-10-04,19:35:03,35005
352263,2014-10-04,19:40:01,34986
352264,2014-10-04,19:45:02,34819
352265,2014-10-04,19:50:04,34522
352266,2014-10-04,19:55:04,34366
352267,2014-10-04,20:00:04,34216
352268,2014-10-04,20:05:02,33885
352269,2014-10-04,20:10:04,33651
352270,2014-10-04,20:15:02,33536
352271,2014-10-04,20:20:03,33252
352272,2014-10-04,20:41:06,32692
352273,2014-10-04,20:42:12,33252
352274,2014-10-04,20:47:54,32692
352275,2014-10-04,20:51:24,32692
352276,2014-10-04,20:57:52,33252
352277,2014-10-04,21:02:52,33252
352278,2014-10-04,21:16:07,31118
352279,2014-10-04,21:21:18,31118
352280,2014-10-04,21:22:50,31524
352281,2014-10-04,21:31:29,30594
352282,2014-10-04,21:35:03,29980
352283,2014-10-04,21:40:01,29810
352284,2014-10-04,21:45:05,29584
352285,2014-10-04,21:47:10,31524
352286,2014-10-04,21:50:04,29306
352287,2014-10-04,21:55:02,29073
352288,2014-10-04,22:00:01,28833
352289,2014-10-04,22:05:03,28419
352290,2014-10-04,22:10:03,28085
352291,2014-10-04,22:15:02,27841
352292,2014-10-04,22:20:03,27682
352293,2014-10-04,22:25:01,27473
352294,2014-10-04,22:30:04,27387
352295,2014-10-04,22:35:02,27008
352296,2014-10-04,22:40:01,26700
352297,2014-10-04,22:45:02,26559
352298,2014-10-04,22:50:02,26311
352299,2014-10-04,22:55:02,25995
